"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","20","20","20","20","20","20","20","29","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2021","86","105.61","<1","1207","114","260.02","<1","2200","23","84.5","1","1271"
"Office of the Director of National Intelligence","Agency Overall","2021","1","2","<1","22","383","507","<1","1872","2","2","2","2"
"Selective Service System","Agency Overall","2021","2","5","1","17","N/A","N/A","N/A","N/A","7","7","7","7"
"Federal Open Market Committee","Agency Overall","2021","10.00","13.64","2","44","65.00","79.83","48","155","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2021","11.5","11.37","0","20","40.0","87.47","8","976","41.0","56.21","1","204"
"National Endowment for the Arts","Agency Overall","2021","18","15","3","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2021","7","8.2","<1","32","N/A","N/A","N/A","N/A","10","10","10","10"
"U.S. Department of State","Agency Overall","2021","140","180","3","983","250","203","<1","3693","203","400","3","1713"
"National Aeronautics and Space Administration","Agency Overall","2021","4","11.64","<1","158","36","54.94","<1","459","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2021","2","2","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
