year,agency,field,value
2022,EEOC,litigation_cost,2000.00
2023,EEOC,litigation_cost,6000.00
2024,EEOC,litigation_cost,1600.00
2023,EXIM,litigation_cost,0.00
2024,EXIM,litigation_cost,0.00
2008,EXIM Bank,litigation_cost,0.00
2009,EXIM Bank,litigation_cost,0.00
2010,EXIM Bank,litigation_cost,0.00
2011,EXIM Bank,litigation_cost,0.00
2012,EXIM Bank,litigation_cost,0.00
2013,EXIM Bank,litigation_cost,0.00
2014,EXIM Bank,litigation_cost,0.00
2015,EXIM Bank,litigation_cost,0.00
2016,EXIM Bank,litigation_cost,0.00
2017,EXIM Bank,litigation_cost,0.00
2018,EXIM Bank,litigation_cost,0.00
2019,EXIM Bank,litigation_cost,0.00
2020,EXIM Bank,litigation_cost,17080.00
2021,EXIM Bank,litigation_cost,34500.00
2022,EXIM Bank,litigation_cost,0.00
2008,FCA,litigation_cost,0.00
2009,FCA,litigation_cost,0.00
2010,FCA,litigation_cost,0.00
2011,FCA,litigation_cost,0.00
2012,FCA,litigation_cost,0.00
2013,FCA,litigation_cost,0.00
2014,FCA,litigation_cost,0.00
2015,FCA,litigation_cost,0.00
2016,FCA,litigation_cost,0.00
2017,FCA,litigation_cost,0.00
2018,FCA,litigation_cost,0.00
2019,FCA,litigation_cost,0.00
2020,FCA,litigation_cost,0.00
2021,FCA,litigation_cost,0.00
2022,FCA,litigation_cost,0.00
2023,FCA,litigation_cost,100.00
2024,FCA,litigation_cost,100.00
2008,FCC,litigation_cost,35946.48
2009,FCC,litigation_cost,60852.00
2010,FCC,litigation_cost,36340.80
2011,FCC,litigation_cost,87400.41
2012,FCC,litigation_cost,75679.00
2013,FCC,litigation_cost,14681.35
2014,FCC,litigation_cost,18516.26
2015,FCC,litigation_cost,27304.56
2016,FCC,litigation_cost,119125.59
2017,FCC,litigation_cost,20221.57
2018,FCC,litigation_cost,133934.04
2019,FCC,litigation_cost,67372.50
2020,FCC,litigation_cost,45028.26
2021,FCC,litigation_cost,28921.76
2022,FCC,litigation_cost,19692.56
2023,FCC,litigation_cost,33354.76
2024,FCC,litigation_cost,25701.13
2008,FCSIC,litigation_cost,0.00
2009,FCSIC,litigation_cost,0.00
2010,FCSIC,litigation_cost,0.00
2011,FCSIC,litigation_cost,0.00
2012,FCSIC,litigation_cost,0.00
2013,FCSIC,litigation_cost,0.00
2014,FCSIC,litigation_cost,0.00
2015,FCSIC,litigation_cost,0.00
2016,FCSIC,litigation_cost,0.00
2017,FCSIC,litigation_cost,0.00
2018,FCSIC,litigation_cost,300.00
2019,FCSIC,litigation_cost,0.00
2020,FCSIC,litigation_cost,0.00
2021,FCSIC,litigation_cost,0.00
2022,FCSIC,litigation_cost,0.00
2023,FCSIC,litigation_cost,0.00
2024,FCSIC,litigation_cost,0.00
2008,FDIC,litigation_cost,0.00
2009,FDIC,litigation_cost,27078.00
2010,FDIC,litigation_cost,55353.00
2011,FDIC,litigation_cost,22152.00
2012,FDIC,litigation_cost,0.00
2013,FDIC,litigation_cost,5976.00
2014,FDIC,litigation_cost,28930.00
2015,FDIC,litigation_cost,30200.00
2016,FDIC,litigation_cost,33944.00
2017,FDIC,litigation_cost,89177.00
2018,FDIC,litigation_cost,56532.00
2019,FDIC,litigation_cost,10156.00
2020,FDIC,litigation_cost,228501.00
2021,FDIC,litigation_cost,35800.60
2022,FDIC,litigation_cost,21370.64
2023,FDIC,litigation_cost,98239.00
2024,FDIC,litigation_cost,241981.00
2008,FEC,litigation_cost,0.00
2009,FEC,litigation_cost,54493.82
2010,FEC,litigation_cost,0.00
2011,FEC,litigation_cost,21101.25
2012,FEC,litigation_cost,55883.59
2013,FEC,litigation_cost,11869.33
2014,FEC,litigation_cost,153963.29
2015,FEC,litigation_cost,8635.17
2016,FEC,litigation_cost,4449.70
2017,FEC,litigation_cost,113460.20
2018,FEC,litigation_cost,30688.73
2019,FEC,litigation_cost,278.44
2020,FEC,litigation_cost,33623.11
2021,FEC,litigation_cost,0.00
2022,FEC,litigation_cost,300611.00
2023,FEC,litigation_cost,300611.00
2024,FEC,litigation_cost,300611.00
2008,FERC,litigation_cost,0.00
2009,FERC,litigation_cost,0.00
2010,FERC,litigation_cost,63000.00
2011,FERC,litigation_cost,0.00
2012,FERC,litigation_cost,0.00
2013,FERC,litigation_cost,0.00
2014,FERC,litigation_cost,0.00
2015,FERC,litigation_cost,0.00
2016,FERC,litigation_cost,0.00
2017,FERC,litigation_cost,0.00
2018,FERC,litigation_cost,0.00
2019,FERC,litigation_cost,0.00
2020,FERC,litigation_cost,0.00
2021,FERC,litigation_cost,0.00
2022,FERC,litigation_cost,0.00
2023,FERC,litigation_cost,0.00
2024,FERC,litigation_cost,0.00
2008,FFIEC,litigation_cost,0.00
2009,FFIEC,litigation_cost,0.00
2010,FFIEC,litigation_cost,0.00
2011,FFIEC,litigation_cost,0.00
2012,FFIEC,litigation_cost,0.00
2013,FFIEC,litigation_cost,0.00
2014,FFIEC,litigation_cost,0.00
2015,FFIEC,litigation_cost,0.00
2016,FFIEC,litigation_cost,0.00
2017,FFIEC,litigation_cost,0.00
2018,FFIEC,litigation_cost,0.00
2019,FFIEC,litigation_cost,0.00
2020,FFIEC,litigation_cost,0.00
2021,FFIEC,litigation_cost,0.00
2022,FFIEC,litigation_cost,0.00
2023,FFIEC,litigation_cost,0.00
2024,FFIEC,litigation_cost,0.00
2008,FHFA,litigation_cost,0.00
2009,FHFA,litigation_cost,0.00
2010,FHFA,litigation_cost,20000.00
2011,FHFA,litigation_cost,0.00
2012,FHFA,litigation_cost,0.00
2013,FHFA,litigation_cost,0.00
2014,FHFA,litigation_cost,0.00
2015,FHFA,litigation_cost,0.00
2016,FHFA,litigation_cost,0.00
2017,FHFA,litigation_cost,0.00
2018,FHFA,litigation_cost,0.00
2019,FHFA,litigation_cost,0.00
2020,FHFA,litigation_cost,0.00
2021,FHFA,litigation_cost,0.00
2022,FHFA,litigation_cost,0.00
2023,FHFA,litigation_cost,1754.52
2024,FHFA,litigation_cost,42021.16
2008,FLRA,litigation_cost,0.00
2009,FLRA,litigation_cost,0.00
2010,FLRA,litigation_cost,0.00
2011,FLRA,litigation_cost,0.00
2012,FLRA,litigation_cost,0.00
2013,FLRA,litigation_cost,0.00
2014,FLRA,litigation_cost,0.00
2015,FLRA,litigation_cost,0.00
2016,FLRA,litigation_cost,0.00
2017,FLRA,litigation_cost,0.00
2018,FLRA,litigation_cost,0.00
2019,FLRA,litigation_cost,0.00
2020,FLRA,litigation_cost,0.00
2021,FLRA,litigation_cost,0.00
2022,FLRA,litigation_cost,0.00
2023,FLRA,litigation_cost,0.00
2024,FLRA,litigation_cost,0.00
2008,FMC,litigation_cost,0.00
2009,FMC,litigation_cost,6468.00
2010,FMC,litigation_cost,48633.00
2011,FMC,litigation_cost,0.00
2012,FMC,litigation_cost,0.00
2013,FMC,litigation_cost,0.00
2014,FMC,litigation_cost,0.00
2015,FMC,litigation_cost,0.00
2016,FMC,litigation_cost,0.00
2017,FMC,litigation_cost,0.00
2018,FMC,litigation_cost,0.00
2019,FMC,litigation_cost,0.00
2020,FMC,litigation_cost,0.00
2021,FMC,litigation_cost,0.00
2022,FMC,litigation_cost,0.00
2023,FMC,litigation_cost,0.00
2024,FMC,litigation_cost,0.00
2008,FMCS,litigation_cost,0.00
2009,FMCS,litigation_cost,0.00
2010,FMCS,litigation_cost,0.00
2011,FMCS,litigation_cost,0.00
2012,FMCS,litigation_cost,0.00
2013,FMCS,litigation_cost,0.00
2014,FMCS,litigation_cost,0.00
2015,FMCS,litigation_cost,0.00
2016,FMCS,litigation_cost,0.00
2017,FMCS,litigation_cost,0.00
2018,FMCS,litigation_cost,0.00
2019,FMCS,litigation_cost,0.00
2020,FMCS,litigation_cost,0.00
2021,FMCS,litigation_cost,0.00
2022,FMCS,litigation_cost,0.00
2023,FMCS,litigation_cost,0.00
2024,FMCS,litigation_cost,0.00
2008,FMSHRC,litigation_cost,0.00
2009,FMSHRC,litigation_cost,0.00
2010,FMSHRC,litigation_cost,0.00
2011,FMSHRC,litigation_cost,0.00
2012,FMSHRC,litigation_cost,0.00
2013,FMSHRC,litigation_cost,0.00
2014,FMSHRC,litigation_cost,0.00
2015,FMSHRC,litigation_cost,0.00
2016,FMSHRC,litigation_cost,0.00
2017,FMSHRC,litigation_cost,0.00
2018,FMSHRC,litigation_cost,0.00
2019,FMSHRC,litigation_cost,0.00
2020,FMSHRC,litigation_cost,0.00
2021,FMSHRC,litigation_cost,0.00
2022,FMSHRC,litigation_cost,0.00
2023,FMSHRC,litigation_cost,0.00
2024,FMSHRC,litigation_cost,0.00
2008,FOMC,litigation_cost,0.00
2009,FOMC,litigation_cost,0.00
2010,FOMC,litigation_cost,0.00
2011,FOMC,litigation_cost,0.00
2012,FOMC,litigation_cost,0.00
2013,FOMC,litigation_cost,0.00
2014,FOMC,litigation_cost,0.00
2015,FOMC,litigation_cost,0.00
2016,FOMC,litigation_cost,0.00
2017,FOMC,litigation_cost,0.00
2018,FOMC,litigation_cost,0.00
2019,FOMC,litigation_cost,0.00
2020,FOMC,litigation_cost,0.00
2021,FOMC,litigation_cost,0.00
2022,FOMC,litigation_cost,0.00
2023,FOMC,litigation_cost,0.00
2024,FOMC,litigation_cost,0.00
2022,FPISC,litigation_cost,0.00
2023,FPISC,litigation_cost,0.00
2024,FPISC,litigation_cost,0.00
2008,FRB,litigation_cost,0.00
2009,FRB,litigation_cost,444453.00
2010,FRB,litigation_cost,310000.00
2011,FRB,litigation_cost,200000.00
2012,FRB,litigation_cost,97344.00
2013,FRB,litigation_cost,100000.00
2014,FRB,litigation_cost,12500.00
2015,FRB,litigation_cost,19265.00
2016,FRB,litigation_cost,38000.00
2017,FRB,litigation_cost,60000.00
2018,FRB,litigation_cost,22228.00
2019,FRB,litigation_cost,14089.00
2020,FRB,litigation_cost,39867.00
2021,FRB,litigation_cost,138653.00
2022,FRB,litigation_cost,156996.00
2023,FRB,litigation_cost,232902.50
2024,FRB,litigation_cost,191423.70
2010,FRTIB,litigation_cost,0.00
2011,FRTIB,litigation_cost,0.00
2012,FRTIB,litigation_cost,0.00
2013,FRTIB,litigation_cost,0.00
2014,FRTIB,litigation_cost,0.00
2015,FRTIB,litigation_cost,0.00
2016,FRTIB,litigation_cost,0.00
