year,agency,litigation_cost,processing_cost,total_cost,total_staff,pending_end_year,pending_start_year,processed_year,received_year,duplicate_request,fee_related,full_denial,full_grants,improper_request_other_reason,not_agency_record,no_records,other,partially_granted,records_not_described,referred_to_other_agency,withdrawn,exemption_1,exemption_2,exemption_3,exemption_4,exemption_5,exemption_6,exemption_7a,exemption_7b,exemption_7c,exemption_7d,exemption_7e,exemption_7f,exemption_8,exemption_9,general_complex_average,general_complex_high,general_complex_low,general_complex_median,general_expedited_average,general_expedited_high,general_expedited_low,general_expedited_median,general_simple_average,general_simple_high,general_simple_low,general_simple_median,granted_complex_average,granted_complex_high,granted_complex_low,granted_complex_median,granted_expedited_average,granted_expedited_high,granted_expedited_low,granted_expedited_median,granted_simple_average,granted_simple_high,granted_simple_low,granted_simple_median
2024,Treasury,1606094.39,26902809.55,28508903.94,196.20,3840,3224,12687,13303,1766,55,491,2683,2956,303,1085,71,2126,247,157,747,3,93,1573,138,469,1156,259,2,614,9,711,3,16,0,258.16,2519,<1,2,843.4,1666,2,1191.5,11.07,807,<1,2,549.82,2519,1,209,703,1666,17,561.5,7.91,807,1,1
2008,TVA,0.00,186425.00,186425.00,1.40,19,16,140,143,0,6,7,21,0,0,21,0,80,1,0,4,0,3,5,6,20,57,0,0,4,1,0,0,0,1,39,125,20,33,N/A,N/A,N/A,N/A,8,19,1,7,37,97,20,31,N/A,N/A,N/A,N/A,9,19,1,8
2009,TVA,0.00,182952.00,182952.00,1.40,19,19,162,162,0,15,15,51,0,0,11,0,66,0,0,4,0,5,4,7,17,48,5,5,8,5,5,0,0,0,63,225,21,40,N/A,N/A,N/A,N/A,7,20,1,5,62,225,21,43,N/A,N/A,N/A,N/A,7,20,1,4
2010,TVA,0.00,189256.76,189256.76,1.40,13,19,171,165,1,0,6,64,0,0,21,0,75,0,0,4,0,8,2,8,18,49,0,0,2,0,2,0,0,0,48.8,235,21,35,N/A,N/A,N/A,N/A,7.8,20,1,6,47,235,21,34,N/A,N/A,N/A,N/A,7.7,20,1,6
2011,TVA,0.00,193911.00,193911.00,1.50,15,13,173,175,0,18,11,46,1,0,22,0,70,0,0,5,0,1,3,9,12,62,2,1,1,0,0,0,0,0,50,103,22,43,N/A,N/A,N/A,N/A,6.5,20,1,5,53.5,100,25,49,N/A,N/A,N/A,N/A,6,19,1,5
2012,TVA,0.00,278113.00,278113.00,2.00,25,15,178,188,0,5,8,51,0,2,24,0,80,0,0,8,0,0,6,10,20,66,0,0,4,1,1,1,0,0,36.4,86,21,34,N/A,N/A,N/A,N/A,7.7,20,1,7,41,141,21,35,N/A,N/A,N/A,N/A,6.7,20,1,6
2013,TVA,6610.00,201951.00,208561.00,1.40,26,25,161,162,0,12,8,49,0,0,20,0,65,0,0,7,0,2,8,12,22,45,2,0,7,0,2,0,0,0,77.92,627,21,36,N/A,N/A,N/A,N/A,9.48,20,1,9,70,292,21,35,N/A,N/A,N/A,N/A,8.7,20,1,6
2014,TVA,0.00,219514.00,219514.00,1.40,16,26,175,165,0,8,7,54,0,2,39,0,62,0,0,3,0,2,3,7,17,53,0,0,6,0,0,3,0,0,103,516,32,57,28,30,26,29,15,30,1,15,102,516,32,57,28,30,26,29,14,30,1,15
2015,TVA,0.00,235534.00,235534.00,1.50,19,16,195,198,0,6,4,69,0,0,28,0,86,0,0,2,0,2,3,8,18,64,0,0,6,0,2,9,0,0,68,1145,21,40,12,12,12,12,9,20,1,8,74,1145,21,41,12,12,12,12,9,20,1,8
2016,TVA,0.00,220155.00,220155.00,1.50,18,19,213,212,0,0,5,68,0,1,23,0,98,0,0,18,0,2,2,11,18,77,0,0,5,0,2,3,0,0,40,247,21,31,19,68,1,8,6,20,1,5,31,91,22,32,19,68,1,8,6,20,1,4
2017,TVA,0.00,229620.00,229620.00,1.50,16,18,201,199,0,2,5,67,0,0,21,0,104,0,0,2,0,7,1,19,33,66,0,0,5,1,1,7,0,0,62.5,322,21,36.5,32,91,6,18,7.54,20,1,7,62.3,322,21,35,32,91,6,18,7.1,20,1,6
2018,TVA,0.00,236508.00,236508.00,1.50,26,16,212,222,0,0,23,51,0,1,11,0,122,0,0,4,0,6,8,37,48,53,1,0,8,0,3,8,0,0,59,270,21,45,N/A,N/A,N/A,N/A,7.75,20,1,7,51.5,270,21,49,N/A,N/A,N/A,N/A,7.5,20,1,7
2019,TVA,0.00,215523.77,215523.77,1.25,16,26,197,187,0,6,14,67,0,3,11,0,88,0,0,8,0,3,7,29,47,44,1,0,10,2,4,12,0,0,76,457,20,34,4,4,4,4,9.75,20,1,8,61,457,21,35,4,4,4,4,10,20,1,9
2020,TVA,60000.00,234889.00,294889.00,1.25,36,16,239,259,0,12,18,79,0,4,27,0,86,11,0,2,0,0,8,34,36,70,8,0,12,1,4,5,0,0,67.17,268,19,64.5,N/A,N/A,N/A,N/A,14.14,113,1,11,85.55,268,19,85,N/A,N/A,N/A,N/A,14.55,113,1,9
2021,TVA,0.00,244823.00,244823.00,1.25,34,36,215,213,2,10,14,77,1,0,29,0,73,1,1,7,0,1,5,27,34,50,0,0,3,1,2,1,0,0,84.14,242,19,62,40.5,73,8,40.5,15.29,85,1,14.5,76.95,242,19,59.5,40.5,73,8,40.5,14.77,66,1,13.5
2022,TVA,0.00,248542.80,248542.80,1.25,28,34,217,211,2,6,13,62,1,3,33,0,83,3,0,11,0,0,7,23,37,53,0,0,7,0,2,5,0,0,73.1,267,7,57,0,N/A,N/A,N/A,13.03,40,1,13.5,77.54,267,21,63,0,N/A,N/A,N/A,12.11,40,1,11
2023,TVA,123498.00,250507.00,374005.00,1.25,57,28,177,206,0,5,8,65,0,2,24,0,63,4,1,5,0,2,6,12,19,50,0,0,2,0,1,2,0,0,95.2,370,7,52,6.5,8,5,6.5,16.8,120,1,16,90,370,22,53.5,6.5,8,5,6.5,17.47,120,1,15
2024,TVA,355707.07,360242.45,715949.52,1.70,55,57,264,262,24,49,7,57,0,1,38,0,80,3,1,4,0,2,4,13,33,55,0,0,2,0,0,7,0,0,133.52,574,26,81,N/A,N/A,N/A,N/A,15.42,29,<1,18,124.18,574,26,79,N/A,N/A,N/A,N/A,14.1,29,<1,16.5
2015,USAB,0.00,15000.00,15000.00,0.50,N/A,N/A,11,11,0,0,1,4,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,70,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,26,1,2
2016,USAB,0.00,15000.00,15000.00,0.50,N/A,N/A,13,13,0,0,0,5,1,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,163,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.8,163,6,12
2017,USAB,0.00,6161.00,6161.00,0.50,N/A,N/A,18,18,0,0,0,7,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.6,19,<1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,19,<1,3
2018,USAB,0.00,15125.88,15125.88,0.12,N/A,N/A,8,8,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,38,38,38,38,14,59,2,9,N/A,N/A,N/A,N/A,38,38,38,38,34,59,9,34
2019,USAB,0.00,159381.00,159381.00,1.20,8,N/A,26,34,0,0,2,2,0,0,5,0,12,2,0,3,0,0,1,1,7,12,1,0,0,0,0,0,0,0,24,120,1,19,N/A,N/A,N/A,N/A,0,N/A,N/A,0,33,120,8,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,USAB,0.00,63752.00,63752.00,0.50,1,8,31,24,0,0,1,2,0,0,14,0,10,0,1,3,0,0,1,4,9,11,1,0,0,0,0,3,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,217,<1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,217,<1,73
2021,USAB,0.00,63752.00,63752.00,0.50,1,1,8,8,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,36,1,6,N/a,N/A,N/A,N/a,n/a,N/A,N/A,n/a,28,36,19,29
2022,USAB,0.00,29454.00,29454.00,0.20,N/A,1,11,10,0,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,497,<1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,256,497,30,233
2023,USAB,0.00,29454.00,29454.00,0.20,1,N/A,19,20,0,0,0,6,0,0,9,0,4,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,42,<1,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,42,<1,18
2024,USAB,0.00,63752.00,63752.00,0.50,2,1,41,42,0,0,2,9,0,0,24,0,6,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,143,<1,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,91,1,13
2010,USADF,0.00,0.00,0.00,0.04,N/A,N/A,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,14,6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,14,7,10
2011,USADF,0.00,0.00,0.00,0.04,N/A,N/A,9,9,0,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,7,7,7,7,4,9,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,9,1,3
2012,USADF,0.00,5961.00,5961.00,0.04,N/A,N/A,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,3,3,3,3,10,13,7,10,N/A,N/A,N/A,N/A,3,3,3,3,10,13,7,10
2013,USADF,0.00,5961.00,5961.00,0.04,N/A,N/A,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,11,4,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,USADF,0.00,5961.00,5961.00,0.04,N/A,N/A,14,14,0,0,0,4,0,0,1,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,15,2,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,15,2,14
2015,USADF,0.00,5961.00,5961.00,0.04,N/A,N/A,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,15,1,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1
2016,USADF,0.00,6000.00,6000.00,0.04,N/A,N/A,4,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,18,1,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,17,17,17
2017,USADF,0.00,9000.00,9000.00,0.06,2,N/A,12,14,0,0,0,5,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.5,30,19,24.5,N/A,N/A,N/A,N/A,13.7,20,1,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.9,20,1,20
2018,USADF,0.00,9000.00,9000.00,0.06,N/A,2,8,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,31,N/A,N/A,N/A,N/A,12,21,2,12,31,31,31,31,N/A,N/A,N/A,N/A,13,21,2,12
2019,USADF,0.00,9000.00,9000.00,0.06,N/A,N/A,7,7,0,0,0,5,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,51,51,51,51,20,20,20,20,8.6,17,1,11,51,51,51,51,N/A,N/A,N/A,N/A,7.75,17,1,6.5
2020,USADF,0.00,200.00,200.00,0.30,1,1,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,14,1,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,14,1,10
2021,USADF,0.00,50.00,50.00,1.00,N/A,N/A,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,23,23,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,23,23,23
2022,USADF,0.00,50.00,50.00,0.40,1,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023,USADF,0.00,50.00,50.00,0.01,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024,USADF,0.00,50.00,50.00,2.00,47,14,7,40,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106,167,90,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,167,167,167,167
2010,USAGM,0.00,975.38,975.38,1.40,5,2,37,40,0,1,1,8,1,4,4,4,13,0,1,0,1,2,1,1,3,10,0,0,0,0,0,0,0,0,79,223,17,70,N/A,N/A,N/A,N/A,22,69,1,19,70,70,70,70,N/A,N/A,N/A,N/A,26,58,6,27
2011,USAGM,0.00,2698.87,2698.87,1.20,2,5,78,75,0,0,4,29,0,1,11,9,18,3,0,3,0,2,3,3,4,14,0,0,0,0,0,1,0,0,31,117,1,28,52,52,52,52,N/A,N/A,N/A,N/A,40,117,1,30,52,52,52,52,N/A,N/A,N/A,N/A
2012,USAGM,0.00,1033.95,1033.95,1.20,4,2,38,40,0,0,2,6,2,0,5,8,15,0,0,0,0,0,3,4,4,14,0,0,0,0,1,0,0,0,32,118,3,26,36,49,37,30,N/A,N/A,N/A,N/A,40,64,21,37,36,49,37,30,N/A,N/A,N/A,N/A
2013,USAGM,0.00,131570.00,131570.00,1.25,17,4,45,58,0,1,3,13,5,0,10,0,13,0,0,0,0,1,0,1,3,9,0,0,0,0,1,0,0,0,44,99,6,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,99,6,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,USAGM,0.00,131570.00,131570.00,1.25,10,17,145,138,1,2,2,21,4,0,99,0,14,2,0,0,0,0,0,1,8,16,0,0,0,0,2,1,0,0,35,354,3,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,354,12,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,USAGM,0.00,131570.00,131570.00,1.25,7,10,48,45,0,5,1,5,1,1,5,2,24,3,0,1,0,3,0,4,9,23,2,0,0,0,0,2,0,0,117,473,8,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,132,473,8,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016,USAGM,0.00,131570.00,131570.00,1.25,15,9,48,54,0,6,0,8,1,1,10,1,18,0,0,3,0,0,1,4,3,17,0,0,0,0,0,0,0,0,50,124,<1,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,124,16,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,USAGM,32892.50,98677.50,131570.00,0.75,5,15,72,62,0,1,3,18,1,0,15,1,27,5,0,1,0,0,0,6,14,24,0,0,0,0,0,1,0,0,70.5,277,4,58,5,5,5,5,N/A,N/A,N/A,N/A,81.74,277,8,73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,USAGM,0.00,107718.00,107718.00,0.75,7,6,59,60,0,2,2,11,1,1,8,0,29,5,0,0,0,0,0,5,19,16,1,0,0,0,0,0,0,1,99.12,553,3,44,62.3,100,18,66.1,36.4,107,1,28,99.12,553,3,44,77.2,100,33,100,42.11,97,6,31
2019,USAGM,10000.00,160000.00,170000.00,1.20,14,25,74,63,0,0,0,10,2,0,13,0,34,3,0,12,0,0,0,7,15,23,1,0,2,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,338,2,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,338,2,48
2020,USAGM,10000.00,160000.00,170000.00,2.00,46,14,28,60,0,0,1,4,0,0,12,0,7,1,0,3,0,0,0,0,3,9,0,0,1,0,0,0,0,0,N/A,N/A,N/A,N/A,6,8,5,6.5,52,466,4,35,N/A,N/A,N/A,N/A,6.5,8,5,6.5,141,466,4,74
2021,USAGM,0.00,190000.00,190000.00,1.50,82,46,77,113,0,0,1,18,0,3,30,0,21,0,2,2,0,0,0,1,11,18,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,136,517,1,99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,378,5,94
2022,USAGM,0.00,190000.00,190000.00,1.50,84,69,77,92,0,0,1,16,0,0,12,0,47,0,0,1,0,0,0,1,21,46,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,6,6,6,6,286,791,1,298,N/A,N/A,N/A,N/A,6,6,6,6,306,791,1,301
2023,USAGM,16666.00,187418.00,204084.00,1.50,27,85,178,120,0,0,0,26,2,0,27,57,39,26,0,1,0,0,1,8,12,37,0,0,0,0,0,0,0,0,156,452,14,117,N/A,N/A,N/A,N/A,40,277,<1,16,169,452,18,127,N/A,N/A,N/A,N/A,53,276,1,23
2024,USAGM,0.00,224696.00,224696.00,1.50,10,28,191,173,3,0,4,28,0,1,89,0,58,5,0,3,0,0,3,9,18,58,1,0,2,0,0,0,0,0,33,674,<1,15,N/A,N/A,N/A,N/A,5,30,<1,2,49,674,2,21,N/A,N/A,N/A,N/A,8,29,<1,2
2008,USAID,0.00,893549.00,893549.00,8.25,311,312,279,278,10,4,9,58,0,2,45,4,91,1,3,52,2,17,28,57,9,50,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009,USAID,0.00,0.00,0.00,0.00,291,311,331,311,6,3,2,60,1,4,43,60,119,0,0,33,1,5,48,74,10,41,0,0,0,2,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010,USAID,0.00,803035.00,803035.00,7.25,335,283,234,286,5,3,7,48,0,0,22,35,104,0,0,10,8,10,51,92,11,58,0,0,1,1,2,2,0,0,354.98,2084,3,213.5,163.17,344,1,134.5,84.57,739,<1,46,315.62,2084,7,174,92.5,184,1,92.5,103.31,739,7,60.5
2011,USAID,25000.00,1192789.43,1217789.43,13.00,256,302,342,296,10,5,16,74,5,1,40,11,145,1,2,32,3,6,69,106,20,85,3,0,3,3,2,2,0,0,307.42,1399,<1,226,139.4,302,12,64,147.66,731,<1,83,290.46,1327,6,216,157,302,12,157,170.24,731,6,96
2012,USAID,0.00,1192789.43,1192789.43,13.00,220,248,295,267,3,3,10,53,2,2,39,17,122,0,4,40,0,4,53,87,18,81,1,0,5,1,2,1,0,0,280.2,1500,<1,145,154.12,487,12,59,163.02,759,2,73,256.44,1500,4,144,154.12,487,12,59,164.47,759,2,79.5
2013,USAID,2100.00,1814666.96,1816766.96,18.90,238,211,345,372,9,7,20,60,6,7,39,2,85,17,2,91,0,1,34,51,22,64,4,0,10,4,2,0,0,0,205.8,1330,<1,101,288,543,19,295,74.83,789,<1,17,256.71,1330,6,143.5,34.5,50,19,34.5,102.67,646,<1,51
2014,USAID,26800.00,2088721.82,2115521.82,19.00,295,237,315,373,5,0,8,37,14,12,51,6,89,9,1,83,0,1,6,47,10,78,4,1,13,5,3,2,0,0,204.54,1192,<1,84,73.4,103,56,71,28.48,221,<1,10,261.11,1192,<1,157,73.4,103,56,71,32.56,179,<1,13
2015,USAID,19750.00,2633813.31,2653563.31,23.90,320,295,305,330,4,0,11,72,18,5,36,1,96,6,1,55,0,2,9,62,25,82,3,0,16,4,5,2,0,0,265.59,1137,<1,161,60.83,119,14,55,28.68,227,<1,5,319.91,1137,8,243.5,89.4,119,71,76,60.78,227,<1,21
2016,USAID,179140.96,3254929.46,3434070.42,23.90,344,321,354,377,4,0,7,67,11,11,45,2,106,0,0,101,0,3,11,55,26,95,3,1,13,2,5,1,0,0,232.22,1334,<1,109,201.75,369,47,187,30.77,252,<1,12.5,299.61,1334,4,179.5,185.5,348,47,187,28.71,250,<1,17
2017,USAID,284591.85,3668695.55,3953287.40,27.90,342,347,331,326,2,1,5,51,2,13,55,7,109,8,3,75,1,1,14,54,24,103,4,1,17,8,7,1,0,0,291.48,1314,<1,150.5,590.25,947,381,534,10.78,37,<1,10,334.53,1314,3,167,539.29,744,381,466,14.67,20,12,12
2018,USAID,357184.93,4933339.78,5290524.71,27.90,285,342,337,280,4,2,16,44,1,4,55,13,148,3,3,44,0,5,16,79,28,144,4,0,26,9,12,0,0,0,260.22,1290,<1,128,704.33,1003,408,702,3,3,3,3,316.47,1233,2,212.5,704.33,1003,408,702,3,3,3,3
2019,USAID,299453.13,4101032.12,4400485.25,25.90,271,285,304,290,0,0,11,40,5,2,44,4,149,3,2,44,0,3,18,63,25,147,8,2,28,14,17,1,0,0,292,1339,<1,146,1270,1270,1270,1270,6.25,12,<1,6.5,343.92,1339,6,231.5,1270,1270,1270,1270,10.5,12,9,10.5
2020,USAID,481180.88,5404234.93,5885415.81,24.25,399,271,299,427,29,1,10,34,2,14,39,9,108,4,2,47,0,1,20,60,21,113,1,0,15,5,6,2,0,0,205.79,1239,<1,84.5,45.14,120,16,20,140,414,3,3,328.89,1239,1,194,66.67,120,20,60,414,414,414,414
2021,USAID,659595.03,5814247.72,6473842.75,24.25,431,399,297,329,2,1,13,27,19,5,47,7,122,8,4,42,0,3,27,73,16,114,3,0,21,3,4,0,0,0,277.1,1242,<1,131,214.33,513,7,222,245.77,1072,<1,44,363.2,1242,1,188,319,513,135,309,374.62,1072,5,329
2022,USAID,410110.48,5061207.99,5471318.47,25.75,427,431,330,326,6,10,8,40,26,18,35,12,114,7,2,52,0,3,39,58,34,106,1,0,17,4,6,1,0,0,204.19,1139,<1,80,163,163,163,163,180.75,300,62,180.5,297.88,1139,2,192.5,163,163,163,163,146.67,300,62,78
2023,USAID,525262.99,5567373.10,6092636.09,25.75,432,428,334,338,11,7,15,34,7,9,54,8,103,8,1,77,0,9,38,52,43,99,6,0,19,6,4,0,1,0,267.17,1211,<1,93,752,828,676,752,n/a,N/A,N/A,n/a,427.44,1211,3,350,676,676,676,676,n/a,N/A,N/A,n/a
2024,USAID,36313.16,5567373.10,5603686.26,25.75,728,432,688,984,326,14,16,38,3,42,68,3,91,3,1,83,0,4,41,42,46,87,0,0,11,1,4,1,0,0,111.09,1355,<1,1,14,140,140,140,34,59,9,34,341.93,1355,<1,161,140,140,140,140,9,9,9,9
2010,USCCR,0.00,30000.00,30000.00,0.25,12,2,30,40,0,0,0,16,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,161,1,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,161,2,7
2011,USCCR,0.00,20000.00,20000.00,0.25,1,14,63,50,0,0,0,17,0,6,25,0,14,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,40,742,N/A,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,511,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,USCCR,0.00,20000.00,20000.00,0.25,N/A,1,21,20,0,0,0,4,6,2,2,0,6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22,63,3,10,N/A,N/A,N/A,N/A,7,6,1,1,22,63,3,10,N/A,N/A,N/A,N/A,1,2,1,1
2013,USCCR,0.00,20000.00,20000.00,0.25,N/A,N/A,23,23,0,0,0,7,1,9,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,14,14,14,N/A,N/A,N/A,N/A,3,21,<1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,8,<1,2
2014,USCCR,0.00,35000.00,35000.00,0.25,1,N/A,43,44,0,0,0,16,2,10,8,0,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,20,1,6,N/A,N/A,N/A,N/A,5,20,1,5,10,20,4,4,N/A,N/A,N/A,N/A,2,4,1,1
2015,USCCR,0.00,35000.00,35000.00,0.25,N/A,1,22,21,0,0,0,9,0,5,2,0,4,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,19,60,1,12,N/A,N/A,N/A,N/A,6,13,1,4,37,60,14,37,N/A,N/A,N/A,N/A,6,13,1,5
2016,USCCR,0.00,46700.00,46700.00,0.34,1,N/A,39,40,0,0,0,10,0,5,11,0,11,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,17,4,8,N/A,N/A,N/A,N/A,4,20,1,3,10,11,7,10,N/A,N/A,N/A,N/A,3,13,1,3
2017,USCCR,0.00,49514.00,49514.00,0.34,N/A,1,33,32,0,0,1,17,0,9,1,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,41,1,11,N/A,N/A,N/A,N/A,8,29,1,6,6,21,1,2,N/A,N/A,N/A,N/A,7,14,1,6
2018,USCCR,0.00,42000.00,42000.00,2.00,N/A,N/A,28,28,0,0,2,4,0,0,18,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20,20,20,20,N/A,N/A,N/A,N/A,8.85,26,1,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.85,26,1,7
2019,USCCR,0.00,42000.00,42000.00,2.00,N/A,N/A,49,49,0,0,1,13,0,0,31,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.4,171,1,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.2,32,3,16.5
