year,facility_type,result,count
2021,Jewish/Kosher,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,11
2021,Jewish/Kosher,Establishment re-opened by DOHMH.,3
2021,"Juice, Smoothies, Fruit Salads",Violations were cited in the following area(s).,106
2021,"Juice, Smoothies, Fruit Salads",No violations were recorded at the time of this inspection.,1
2021,Fusion,Violations were cited in the following area(s).,17
2021,Spanish,Violations were cited in the following area(s).,168
2021,Spanish,No violations were recorded at the time of this inspection.,1
2021,Spanish,Establishment re-opened by DOHMH.,1
2021,Spanish,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,6
2021,Japanese,Violations were cited in the following area(s).,174
2021,Indian,Violations were cited in the following area(s).,73
2021,Indian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,5
2021,Indian,Establishment re-opened by DOHMH.,1
2021,Asian/Asian Fusion,Violations were cited in the following area(s).,113
2021,Asian/Asian Fusion,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,9
2021,Asian/Asian Fusion,Establishment re-opened by DOHMH.,1
2021,Hawaiian,Violations were cited in the following area(s).,5
2021,Korean,Violations were cited in the following area(s).,88
2021,Korean,No violations were recorded at the time of this inspection.,1
2021,Creole,Violations were cited in the following area(s).,10
2021,Eastern European,Violations were cited in the following area(s).,38
2021,Southeast Asian,Violations were cited in the following area(s).,43
2021,Soul Food,Violations were cited in the following area(s).,15
2021,Cajun,Violations were cited in the following area(s).,14
2021,Thai,Violations were cited in the following area(s).,100
2021,Thai,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,4
2021,Thai,Establishment re-opened by DOHMH.,1
2021,Seafood,Violations were cited in the following area(s).,80
2021,Seafood,No violations were recorded at the time of this inspection.,2
2021,Barbecue,Violations were cited in the following area(s).,26
2021,Barbecue,No violations were recorded at the time of this inspection.,1
2021,African,Violations were cited in the following area(s).,13
2021,Pakistani,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,4
2021,Pakistani,Violations were cited in the following area(s).,3
2021,Pakistani,Establishment re-opened by DOHMH.,1
2021,Vegetarian,Violations were cited in the following area(s).,21
2021,Bangladeshi,Violations were cited in the following area(s).,14
2021,Steakhouse,Violations were cited in the following area(s).,28
2021,Egyptian,Violations were cited in the following area(s).,14
2021,Indonesian,Violations were cited in the following area(s).,9
2021,Ethiopian,Violations were cited in the following area(s).,15
2021,Iranian,Violations were cited in the following area(s).,6
2021,Middle Eastern,Violations were cited in the following area(s).,51
2021,Turkish,Violations were cited in the following area(s).,22
2021,Turkish,No violations were recorded at the time of this inspection.,1
2021,Other,Violations were cited in the following area(s).,34
2021,Other,No violations were recorded at the time of this inspection.,2
2021,Lebanese,Violations were cited in the following area(s).,4
2021,Filipino,Violations were cited in the following area(s).,3
2021,Tapas,Violations were cited in the following area(s).,10
2021,Russian,Violations were cited in the following area(s).,3
2021,Not Listed/Not Applicable,Violations were cited in the following area(s).,5
2021,New American,Violations were cited in the following area(s).,5
2021,English,Violations were cited in the following area(s).,4
2021,Afghan,Violations were cited in the following area(s).,3
2021,Hotdogs,Violations were cited in the following area(s).,5
2021,Soups/Salads/Sandwiches,Violations were cited in the following area(s).,7
2021,Chilean,Violations were cited in the following area(s).,4
2021,Moroccan,Violations were cited in the following area(s).,6
2021,Chinese/Japanese,Violations were cited in the following area(s).,4
2021,New French,Violations were cited in the following area(s).,3
2021,Soups,Violations were cited in the following area(s).,2
2021,Portuguese,Violations were cited in the following area(s).,8
2021,Polish,Violations were cited in the following area(s).,5
2021,Continental,Violations were cited in the following area(s).,3
2021,Continental,No violations were recorded at the time of this inspection.,1
2021,Hotdogs/Pretzels,Violations were cited in the following area(s).,2
2022,Eastern European,Violations were cited in the following area(s).,243
2022,Eastern European,Establishment re-opened by DOHMH.,9
2022,Eastern European,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,27
2022,Eastern European,No violations were recorded at the time of this inspection.,1
2022,American,Violations were cited in the following area(s).,10629
2022,American,No violations were recorded at the time of this inspection.,50
2022,American,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,198
2022,American,Establishment re-closed by DOHMH.,34
2022,American,Establishment re-opened by DOHMH.,54
2022,Turkish,Violations were cited in the following area(s).,148
2022,Turkish,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,7
2022,Turkish,Establishment re-opened by DOHMH.,2
2022,French,Violations were cited in the following area(s).,775
2022,French,No violations were recorded at the time of this inspection.,3
2022,French,Establishment re-closed by DOHMH.,13
2022,French,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,17
2022,French,Establishment re-opened by DOHMH.,9
2022,Italian,Violations were cited in the following area(s).,2379
2022,Italian,Establishment re-opened by DOHMH.,14
2022,Italian,No violations were recorded at the time of this inspection.,10
2022,Italian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,45
2022,Italian,Establishment re-closed by DOHMH.,17
2022,Chinese,Violations were cited in the following area(s).,5717
2022,Chinese,Establishment re-opened by DOHMH.,105
2022,Chinese,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,453
2022,Chinese,Establishment re-closed by DOHMH.,41
2022,Chinese,No violations were recorded at the time of this inspection.,9
2022,Tex-Mex,Violations were cited in the following area(s).,861
2022,Tex-Mex,No violations were recorded at the time of this inspection.,7
2022,Tex-Mex,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10
2022,Tex-Mex,Establishment re-opened by DOHMH.,3
2022,Chicken,No violations were recorded at the time of this inspection.,7
2022,Chicken,Violations were cited in the following area(s).,1550
2022,Chicken,Establishment re-opened by DOHMH.,18
2022,Chicken,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,54
2022,Pizza,Violations were cited in the following area(s).,4027
2022,Pizza,Establishment re-closed by DOHMH.,12
2022,Pizza,No violations were recorded at the time of this inspection.,8
2022,Pizza,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,139
2022,Pizza,Establishment re-opened by DOHMH.,36
2022,Coffee/Tea,Violations were cited in the following area(s).,4283
2022,Coffee/Tea,Establishment re-opened by DOHMH.,26
2022,Coffee/Tea,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,90
2022,Coffee/Tea,Establishment re-closed by DOHMH.,9
2022,Coffee/Tea,No violations were recorded at the time of this inspection.,25
2022,Mexican,Violations were cited in the following area(s).,2756
2022,Mexican,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,69
2022,Mexican,Establishment re-opened by DOHMH.,18
2022,Mexican,No violations were recorded at the time of this inspection.,9
2022,Jewish/Kosher,Violations were cited in the following area(s).,843
2022,Jewish/Kosher,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,73
2022,Jewish/Kosher,Establishment re-opened by DOHMH.,22
2022,Jewish/Kosher,No violations were recorded at the time of this inspection.,2
2022,Korean,Violations were cited in the following area(s).,860
